airlineID,routeID,TV,n_meals,planeTypeID
330,604,NULL,NULL,54
330,605,NULL,NULL,13
330,609,NULL,NULL,98
3320,609,NULL,NULL,98
3321,609,NULL,NULL,98
330,610,NULL,NULL,13
324,611,NULL,NULL,98
330,611,NULL,NULL,98
330,612,NULL,NULL,98
751,612,NULL,NULL,98
2660,612,NULL,NULL,101
330,613,NULL,NULL,13
330,614,NULL,NULL,149
5209,614,NULL,NULL,149
330,615,NULL,NULL,170
330,616,NULL,NULL,13
330,617,NULL,NULL,13
1317,617,NULL,NULL,19
330,618,NULL,NULL,96
751,618,NULL,NULL,96
330,620,NULL,NULL,54
330,621,NULL,NULL,15
330,622,NULL,NULL,13
330,623,NULL,NULL,92
330,624,NULL,NULL,170
330,625,NULL,NULL,15
5209,625,NULL,NULL,15
330,626,NULL,NULL,13
330,627,NULL,NULL,13
1317,627,NULL,NULL,75
1936,627,NULL,NULL,15
330,629,NULL,NULL,54
330,630,NULL,NULL,92
2150,630,NULL,NULL,92
330,631,NULL,NULL,13
330,632,NULL,NULL,13
330,633,NULL,NULL,92
491,633,NULL,NULL,90
3320,633,NULL,NULL,90
3321,633,NULL,NULL,90
330,634,NULL,NULL,13
1317,634,NULL,NULL,75
330,635,NULL,NULL,103
3210,635,NULL,NULL,103
330,636,NULL,NULL,149
330,637,NULL,NULL,170
330,638,NULL,NULL,15
330,639,NULL,NULL,152
330,640,NULL,NULL,54
330,641,NULL,NULL,15
3090,641,NULL,NULL,64
330,642,NULL,NULL,170
330,643,NULL,NULL,170
5416,643,NULL,NULL,73
330,644,NULL,NULL,152
1317,644,NULL,NULL,19
330,645,NULL,NULL,13
330,646,NULL,NULL,152
330,647,NULL,NULL,170
330,648,NULL,NULL,152
330,650,NULL,NULL,149
330,651,NULL,NULL,152
330,652,NULL,NULL,149
330,653,NULL,NULL,13
1317,653,NULL,NULL,11
3320,653,NULL,NULL,21
3321,653,NULL,NULL,21
4559,653,NULL,NULL,21
5209,653,NULL,NULL,21
330,654,NULL,NULL,17
3952,654,NULL,NULL,97
330,655,NULL,NULL,15
3090,655,NULL,NULL,64
330,656,NULL,NULL,170
330,657,NULL,NULL,149
330,658,NULL,NULL,149
330,659,NULL,NULL,15
330,661,NULL,NULL,15
330,662,NULL,NULL,15
330,663,NULL,NULL,54
330,664,NULL,NULL,21
4559,664,NULL,NULL,21
2091,666,NULL,NULL,98
1663,667,NULL,NULL,90
3826,667,NULL,NULL,88
1663,668,NULL,NULL,75
1889,669,NULL,NULL,75
1936,670,NULL,NULL,15
341,671,NULL,NULL,64
341,672,NULL,NULL,64
2354,674,NULL,NULL,7
2354,676,NULL,NULL,7
68,680,NULL,NULL,147
2354,680,NULL,NULL,4
2354,681,NULL,NULL,4
68,682,NULL,NULL,147
68,683,NULL,NULL,147
68,684,NULL,NULL,147
330,686,NULL,NULL,151
330,687,NULL,NULL,54
3856,688,NULL,NULL,231
33,690,NULL,NULL,54
330,690,NULL,NULL,149
11838,690,NULL,NULL,54
33,691,NULL,NULL,54
330,691,NULL,NULL,149
11838,691,NULL,NULL,54
330,692,NULL,NULL,149
794,694,NULL,NULL,75
794,695,NULL,NULL,75
21,696,NULL,NULL,15
794,696,NULL,NULL,75
21,697,NULL,NULL,15
794,697,NULL,NULL,73
2548,698,NULL,NULL,13
21,699,NULL,NULL,13
130,699,NULL,NULL,13
137,699,NULL,NULL,13
794,699,NULL,NULL,19
3090,699,NULL,NULL,13
21,700,NULL,NULL,13
137,700,NULL,NULL,15
794,700,NULL,NULL,73
794,701,NULL,NULL,6
794,702,NULL,NULL,75
794,703,NULL,NULL,73
794,704,NULL,NULL,73
4259,704,NULL,NULL,15
794,705,NULL,NULL,6
794,706,NULL,NULL,73
2439,706,NULL,NULL,15
2822,706,NULL,NULL,15
5352,706,NULL,NULL,15
794,707,NULL,NULL,73
794,708,NULL,NULL,75
794,709,NULL,NULL,75
794,710,NULL,NULL,6
794,711,NULL,NULL,73
794,712,NULL,NULL,73
794,713,NULL,NULL,6
794,714,NULL,NULL,73
2143,714,NULL,NULL,15
794,715,NULL,NULL,90
4248,715,NULL,NULL,92
794,716,NULL,NULL,6
794,717,NULL,NULL,75
794,718,NULL,NULL,75
794,719,NULL,NULL,19
2183,719,NULL,NULL,98
794,720,NULL,NULL,6
794,721,NULL,NULL,6
794,722,NULL,NULL,73
596,723,NULL,NULL,13
794,723,NULL,NULL,73
794,724,NULL,NULL,73
3320,724,NULL,NULL,13
3321,724,NULL,NULL,13
794,725,NULL,NULL,6
794,726,NULL,NULL,73
794,727,NULL,NULL,73
794,728,NULL,NULL,6
794,729,NULL,NULL,6
794,730,NULL,NULL,73
4951,730,NULL,NULL,75
794,731,NULL,NULL,73
21,732,NULL,NULL,15
794,732,NULL,NULL,73
794,733,NULL,NULL,73
4869,733,NULL,NULL,186
21,734,NULL,NULL,15
794,734,NULL,NULL,73
794,735,NULL,NULL,73
2822,735,NULL,NULL,13
794,736,NULL,NULL,6
794,737,NULL,NULL,73
794,738,NULL,NULL,6
794,739,NULL,NULL,73
794,740,NULL,NULL,75
794,741,NULL,NULL,6
794,742,NULL,NULL,6
21,743,NULL,NULL,15
794,743,NULL,NULL,73
794,744,NULL,NULL,73
794,745,NULL,NULL,19
794,746,NULL,NULL,75
794,747,NULL,NULL,6
